@RELATION	sentence_emotions

@ATTRIBUTE	sentence string
@ATTRIBUTE	emosi  { disgust , fear , happy , sad , surprise , angry }

@DATA
' a picture of america \' s missle  defense shield   that \' s right people, a lawn gnome and a blow up sheep....that \' s what  billions of dollars have been spent on enjoy !  !  !  i know what you \' re going to say, but wait !  !  !  !  they are actually magical because jesus has cast a spell...err...has blessed them.  sometimes, i am really amazed by how STOOPID people can actually be.... ' , disgust
' Might be well explained right here.  Notice the sloppy thinking, the poor analysis the lack of any shred of proof.  He might be good at New York cocktail parties, where Maureen Dowd sets the level of discourse, but nowhere that people carefully think through what they are doing. ' , disgust
' Good bye everyone.   It was good getting to know you all.     I hope you all have a wonderful life !     *hugs you all*    I wont be back on again. Im getting rid of the internet. I wont be back.   Slainte ' , disgust
' I just removed the dead flowers I got for my birthday from the living room and the smell almost made me physically vomit. yuk yuk yuk. ' , disgust
' I think after voting tomorrow, or tomorrow evening, I \' ll get drunk on Jaegermeister.  It \' ll leave a much less foul taste in my mouth than our current political landscape, after all. ' , disgust
' Geo is a horrible monster and I pray for his death.  geox777: why dont you toss the _____salad KingNuthing64: lmfao....fuck you  We \' ll let you fill in the blank.  Although you \' d rather not, believe me. ' , disgust
' TAMPA, Fla. ( AP ) - The medical examiner completed the autopsy of Terri Schiavo on Friday, clearing the way for the release of the body to her husband, who plans to cremate her remains and bury the ashes without telling his in-laws when or where.   What an ass.  That serves no purpose except to extend the grief and suffering of Terri \' s parents. ' , disgust
' I helped set up a new guy at work today.  He  just  got his login and password.  When he opened up his email  for the first time , he had  ten (10)  items of pure, unadulterated  SPAM  !  !  !   This was his $ParentCompany email !   Spammers should be shot, preferably out of a canon. ' , disgust
' Cosmetic Psychopharmacology.   I.e., taking psychoactive drugs, not because you  need  them for a disorder, but because you want to use them as performance enhancers.  People this stupid will hopefully be weeded out of the gene pool when they take too much or experience the medication \' s side effects. I like to call it  \' The Darwin Effect. ' , disgust
' I just showered and toweled myself off with the nearest towel. Then I smelled something. Something tainted. Evil. The towel I had used was my former housemate \' s, left to fester for weeks. I haven \' t experienced anything this revolting in a very long time. I am unclean. ' , disgust
' *Rolls eyes*  I can \' t believe I was just angered by a Chick Tract, but this is ridiculous.    http://www.chick.com/reading/tracts/105 4/1054_01.asp   It \' s about the horrors of Islam, and a couple of girls so wishy-washy that they (almost) convert twice in one day. The 2nd conversion has no more basis than the first !  Ugh. ' , disgust
' Okay.  I give.  It \' s official.  I \' m scared shitless about tackling these revisions.  There.  I \' ve said it.   Now  can I please, please just get on with it? ' , disgust
' Hey, hey, look at me !  I finally got noticed by a BNF despite my best efforts to alienate everyone worth knowing with my  \' winning \'  personality !  Cower in fear now that I finally have the recognition that I deserve !  Hey, I \' m important now !  Really ! ' , disgust
' Milk... pus... mixed together? That \' s what we drink/eat? I think not !  I am going organic or vegan... that \' s just disgusting. Eww. Eww eww eww eww !  !  ! ' , disgust
' Dear GOD, this woman is a freaking  NUTCASE . I  was  willing to chalk this up to postpartum depression, even though she never actually had the baby, but now they \' re saying that they have reason to believe that  she was never pregnant in the first place.     That picture where she \' s holding the dog like a baby just sends shivers down my spine. ' , disgust
' Happy Pumpkin Day !  A_A  Hope you all rot your teeth and get diabetes. :) j/k    ...I haven \' t consumed this much sugar in my life =_=;; And I don \' t even really like sweet stuff.    Need Spicy Tuna or curry T_T... ' , disgust
' DIRTY FUCKING BEANERS !   usually el favorito is awesome, ive eaten there plenty of times and its always been the best mexican food ive ever had... but tonight it looked like some fuckin beaner puked in a tortilla and called it a quesadilla.... i wanted to go fucking shoot him. im never going back. ' , disgust
' It \' s time to snap out of this.  It \' s time to pull things together.  This is ridiculous.  I \' m going nowhere.  I \' m doing nothing. ' , disgust
' You know there \' s something wrong with the universe when Tanyon Sturtze pitches like Mariano Riviera and Mariano Riviera pitches like Tanyon Sturtze. ' , disgust
